muon_pt,muon_eta,muon_phi,antimuon_pt,antimuon_eta,antimuon_phi,delta_eta,delta_phi,delta_R,label
41.447014,0.79921365,-2.3083217,38.935745,-0.032655407,0.77977425,0.83186907,3.088096,3.1981778,1
31.823483,-1.3887118,2.155507,35.34227,-3.0976696,-1.0358214,1.7089578,3.0918572,3.532721,1
38.410583,0.3435058,2.4730108,49.98723,-0.39232644,-0.5204789,0.7358322,2.9934895,3.0826008,1
25.240185,3.9803987,0.4235232,83.90849,3.3492494,-1.9340538,0.6311493,2.3575766,2.4405975,1
30.351837,2.6514351,-1.4603562,35.029854,4.388719,1.3599175,1.737284,2.8202739,3.312416,1
35.65225,3.8117723,-1.5283723,41.9215,2.7432709,1.5196701,1.0685015,3.0480423,3.2299004,1
36.274433,-2.6197805,-0.6518173,32.89953,-1.0818993,2.464921,1.5378813,3.1167383,3.4755054,1
35.363663,-1.6948706,-1.0306771,34.03786,-0.36687607,2.205701,1.3279946,3.0468075,3.3236434,1
45.314724,-2.3227909,-1.4240255,45.2425,-2.3214812,1.7427622,0.0013096333,3.116398,3.1163983,1
37.79914,2.5362666,-1.4840114,34.49867,1.1094387,1.7833925,1.4268279,3.0157816,3.336282,1
46.728546,-0.9056361,1.0427126,31.964432,0.05728806,-1.6691396,0.9629241,2.7118523,2.8777363,1
29.452017,1.7918711,-3.0950465,25.252623,-0.309586,-0.07458439,2.101457,3.020462,3.6795805,1
47.832935,-0.8826332,0.8180853,44.488808,-1.4908599,-2.3640141,0.60822666,3.101086,3.1601698,1
35.26785,0.915665,3.1061902,32.653732,0.34598118,0.1275084,0.5696838,2.9786818,3.0326695,0
42.660717,-1.0623152,2.1488712,36.15973,-2.1409822,-0.69739026,1.0786669,2.8462613,3.0438013,1
43.490322,-0.8338388,0.95295006,48.33123,-1.3425839,-2.0070765,0.5087451,2.9600265,3.0034277,1
30.597874,-1.3819289,1.08909,26.47705,0.62624764,-2.0760407,2.0081766,3.1180546,3.7087784,1
52.08487,0.34539014,1.0973426,38.170105,0.9272591,-1.6708813,0.58186895,2.768224,2.8287163,1
40.696754,2.126942,-0.721805,42.064342,1.8798785,2.3646002,0.2470634,3.0864053,3.0962782,1
38.654457,0.2823714,1.4097548,52.039783,-0.008256266,-1.4747874,0.29062766,2.8845417,2.8991456,1
27.376396,-2.414083,-0.52709347,35.95682,-3.7709262,2.66683,1.3568432,3.0892622,3.374102,0
38.32359,-0.4617929,0.5699353,43.970642,-1.2105026,-2.5427425,0.74870974,3.1126778,3.2014575,1
29.928467,-0.57756746,2.1427333,39.97643,-2.1874485,-1.2087634,1.609881,2.9316885,3.3446248,1
28.36407,2.7028894,-1.0144246,33.077465,4.5911155,2.1420283,1.888226,3.1267326,3.6526504,1
29.933392,1.4255061,2.0015755,51.917564,0.34648818,-0.9389311,1.0790179,2.9405062,3.1322286,1
40.531265,0.58380455,1.5613717,42.04375,0.3140612,-1.8630815,0.26974335,2.8587325,2.8714304,1
37.07521,1.5495797,-1.6226871,44.564262,0.68165773,1.4778824,0.867922,3.1005695,3.2197545,1
36.660614,0.720047,-2.2076833,36.09078,-0.6992793,0.7904011,1.4193263,2.9980845,3.3170767,1
47.196,0.17031975,0.23253492,39.175297,0.7324849,-3.0227218,0.56216514,3.0279286,3.079672,1
29.680822,0.20199902,-0.13913544,30.75353,-1.7821417,-3.0116484,1.9841408,2.872513,3.4911525,1
42.06758,3.0069554,-1.4412353,41.77661,2.1533759,1.7028416,0.8535795,3.139109,3.2530913,1
37.333874,2.5733438,1.9516661,48.981865,1.7235954,-0.5553942,0.8497484,2.5070603,2.6471539,1
44.73946,2.0213401,-2.907475,45.642868,1.6244905,0.13134837,0.39684963,3.0388234,3.0646267,1
32.483463,-1.2733535,0.037995383,34.809784,0.32651916,2.9803474,1.5998726,2.942352,3.349183,1
26.543053,-0.24175556,-3.1019778,48.83317,-1.6633923,-0.034514047,1.4216367,3.0674639,3.3808854,1
33.291855,-5.036225,2.7391984,31.282978,-3.1994765,-0.5694423,1.8367484,2.9745448,3.495935,1
30.491583,-1.9823503,1.1565474,37.005577,-3.5794036,-2.1634097,1.5970533,2.9632285,3.3662,1
37.892906,-2.1242666,-1.4464282,40.69328,-3.2052984,1.4499507,1.0810318,2.896379,3.0915434,1
44.529846,-1.1046159,-2.1942997,42.342457,-0.4256309,0.9190339,0.678985,3.1133337,3.1865132,1
25.550312,-3.6679516,-0.6960536,35.42493,-1.6782283,2.1953778,1.9897233,2.8914313,3.5098965,1
25.268482,2.9892752,2.4602883,26.922586,1.118398,-0.058773693,1.8708773,2.5190623,3.1378107,0
31.316734,-1.7706416,-0.89169335,43.167927,-3.061235,2.1276407,1.2905934,3.019334,3.283597,1
40.097248,-0.67665046,0.107530765,40.188145,-1.7009473,-2.7082765,1.0242968,2.8158076,2.9963238,1
29.996283,-0.72779256,-1.8522125,28.611582,-1.9916916,1.3019639,1.2638991,3.129009,3.3746314,0
43.47898,1.3068556,-2.3453803,49.893513,1.8896309,0.97803813,0.58277535,2.959767,3.0165956,1
42.49498,-4.289467,2.9743893,40.48112,-4.6824503,-0.09956828,0.39298344,3.0739577,3.098976,1
45.40803,-2.6432667,-0.6928416,30.373451,-1.3322357,2.5852346,1.311031,3.005109,3.2786405,1
81.79292,-1.0429091,-2.438303,37.750492,-0.91155773,-0.43705624,0.13135141,2.0012467,2.0055528,1
32.429646,1.950783,-1.1702341,54.149097,0.95530534,2.4966156,0.9954777,2.616336,2.7993197,1
39.199905,-1.0676754,0.5930689,39.534443,-0.37114772,-2.5467281,0.6965276,3.139797,3.2161274,1
35.906204,-2.3250313,2.9147518,39.049835,-1.0608789,-0.24522343,1.2641524,3.1232102,3.3693507,1
46.05387,-0.948935,-0.74700034,31.49573,0.33472532,2.5132685,1.2836603,3.022917,3.2841759,1
55.948223,-1.4777374,-2.380906,98.310265,-1.7060047,-2.6012697,0.22826731,0.22036362,0.3172792,0
38.886707,-1.7267066,1.6048923,28.092573,-3.5082417,-0.78539646,1.781535,2.3902886,2.9811652,1
42.943806,2.8485081,0.761634,41.34576,2.0917659,-2.4979956,0.75674224,3.023556,3.1168172,1
36.68666,2.7820556,-0.9885846,53.510857,4.370299,0.10491904,1.5882432,1.0935037,1.9282808,1
45.574978,-1.2110989,-2.8258986,45.19082,-0.68112314,0.35210165,0.5299758,3.1051853,3.1500874,1
33.43782,1.2169296,-0.27713394,36.88881,2.6610308,2.7041423,1.4441012,2.9812763,3.3126178,1
28.940298,-2.123446,-2.4707203,60.981514,-3.1755407,0.01771287,1.0520947,2.4884331,2.7017035,1
44.866917,-4.01554,-2.0458856,47.032494,-3.9198031,0.606598,0.09573698,2.6524835,2.6542106,1
51.67968,0.7555703,-0.51193506,37.076233,0.940981,2.8058567,0.18541068,2.9653938,2.9711845,1
41.72078,2.22489,-3.0727243,29.980278,1.2585843,0.6805046,0.96630573,2.5299566,2.7082148,0
43.10912,1.8981818,-0.062066868,45.61686,2.3709602,2.8826165,0.47277844,2.9446833,2.982395,1
38.27382,0.6887918,0.6304167,38.844357,-0.51177144,-2.568626,1.2005632,3.084143,3.3095753,1
50.04977,0.4649887,3.1076283,39.91384,1.3497037,0.79265845,0.88471496,2.3149703,2.4782672,1
28.575766,-1.8589286,0.9139968,68.84604,-2.388319,-2.9311728,0.52939045,2.4380162,2.4948301,1
41.12926,0.63815355,0.5720992,46.683846,0.20439681,-2.6171575,0.43375674,3.0939286,3.124186,1
45.246853,-1.0811673,-1.7726705,46.16725,-1.2697971,1.3881748,0.18862975,3.1223404,3.1280332,1
27.345701,-0.49802327,-2.7930691,30.947233,1.4713354,0.26162377,1.9693587,3.054693,3.6344907,1
29.528687,-2.040383,1.4406223,29.524942,-4.0759854,-1.6285604,2.0356023,3.0691826,3.6828737,1
38.16213,1.0871812,3.0781612,43.93961,2.2132955,-0.8383097,1.1261142,2.3667147,2.6209676,1
42.58895,-0.2251668,-1.004803,43.92743,0.17082122,2.3519878,0.39598802,2.9263947,2.953065,1
30.503805,-0.41594377,1.6680609,41.72625,1.2655467,-1.92704,1.6814904,2.6880848,3.1706798,1
28.017702,-2.7975922,-2.4399083,28.675797,-0.711264,0.8262872,2.086328,3.01699,3.6681046,1
43.033115,2.7582884,-0.8200797,44.27673,2.339293,2.320859,0.41899538,3.1409388,3.1687622,1
37.27222,0.39155635,-0.9702378,43.289425,-0.618461,2.2254782,1.0100174,3.0874693,3.2484767,1
51.250923,4.012068,-1.0290995,53.322193,3.041523,0.6333035,0.9705448,1.662403,1.9249781,1
34.459557,4.034305,-1.0088838,28.87469,2.0370944,2.3185108,1.9972107,2.9557908,3.5672889,1
46.269375,-3.126636,-2.0524628,44.789093,-3.1710517,1.1757287,0.044415712,3.0549939,3.055317,1
48.013023,2.2420082,0.5013411,41.738663,1.9187057,-2.5939393,0.3233025,3.0952804,3.1121192,1
47.09868,-0.19346833,-0.8919313,37.201378,-1.1359954,2.2532427,0.94252706,3.1380112,3.276503,1
25.597599,-3.9602911,-1.2989941,42.224037,-2.027488,0.5941858,1.9328032,1.8931799,2.7055237,1
63.311733,4.1155653,3.1359997,30.223532,3.6412363,0.5007245,0.474329,2.6352751,2.6776226,1
46.40955,1.4792871,2.6599023,35.348637,0.6622093,-0.14210601,0.8170779,2.8020084,2.91871,1
35.497513,0.43333027,-0.6739302,37.167515,-1.2108123,-2.64215,1.6441426,1.96822,2.5645847,1
27.578115,3.214792,-0.77174443,60.35048,2.2778676,2.841122,0.93692446,2.6703188,2.829917,1
28.821896,-1.15041,-2.7229872,30.245922,0.7544635,0.763523,1.9048736,2.796675,3.383775,1
46.60546,2.2269921,2.2212,45.49826,1.8486658,-1.0139122,0.3783263,3.048073,3.0714624,1
30.470638,2.674411,1.0488663,29.354294,3.4465876,-1.9716847,0.7721765,3.020551,3.117689,0
46.54252,-1.4901822,0.9851635,29.172665,-2.8550124,-1.9987929,1.3648303,2.9839566,3.2812738,1
44.89176,-1.9756292,0.95927745,43.446533,-1.2934438,-2.6552455,0.6821854,2.6686623,2.7544756,1
47.69355,1.7019324,-2.8521504,36.027393,2.6258316,-0.15158662,0.9238992,2.700564,2.854231,1
38.9538,-4.169374,-0.4909308,39.6429,-3.0720031,2.739325,1.0973709,3.0529296,3.2441642,1
41.1344,4.0641227,-0.16464125,39.11907,3.0306032,-3.1373165,1.0335195,2.9726756,3.1472151,1
32.131493,-2.8644245,-1.9311104,30.309582,-0.9824046,1.1577264,1.8820199,3.0888367,3.6170306,1
43.92693,-1.9412206,-1.4064972,42.568443,-1.9454291,1.6284623,0.0042084455,3.0349596,3.0349624,1
27.99339,-2.7516868,-2.750192,34.164276,-3.321593,1.8162614,0.56990623,1.7167323,1.8088568,0
37.68098,-3.83037,2.552351,32.254818,-4.591486,-0.87039393,0.761116,2.8604405,2.959969,0
70.77256,-1.8075675,0.89445806,67.51725,-0.7886944,-2.3534698,1.0188731,3.0352576,3.2017012,0
45.958393,-1.7653869,2.9742105,36.363907,-2.7534392,-0.10545332,0.98805225,3.0796635,3.234281,1
44.975346,2.1696227,-1.7867762,30.764778,0.8755454,1.4017146,1.2940773,3.0946944,3.3543656,1
48.551754,-2.0029337,-0.4158315,45.939735,-1.7603787,2.81632,0.24255502,3.0510342,3.0606606,1
35.63676,-0.8508817,-2.4014301,47.98751,-0.5730615,0.5709481,0.27782017,2.9723783,2.9853334,1
38.02437,-1.5284733,-2.0562615,33.34283,-0.06552381,1.0317689,1.4629494,3.0880303,3.4170384,1
39.052593,3.1049397,0.9128741,45.085735,3.4825497,-2.3268158,0.37760997,3.0434954,3.066831,1
46.651756,2.998374,-0.8620403,27.133501,1.6216124,1.9520775,1.3767616,2.814118,3.1328473,1
35.83756,-2.6886334,-0.18545003,35.493618,-4.3049207,2.995434,1.6162872,3.1023014,3.4980936,1
